# 640/320, smic 6000 steps

#######

ENMD-core-t-inside cluster.run() call: 2015-10-02 21:42:59.342981
ENMD-core-timing-1: 5.105768
ENMD-appl-timing-0: 0.000421
ENMD-appl-timing-1: 0.002696
ENMD-core-t-before cluster.run() call: 2015-10-02 21:42:59.342782

#######

step,probe,timestamp

allocate,start_time,2015-10-02 17:42:54.244845
allocate,stop_time,2015-10-02 17:42:59.339712
deallocate,start_time,2015-10-02 19:46:32.738925
deallocate,stop_time,2015-10-02 19:46:56.483119

#######

Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-10-02 23:29:46.165701; 2015-10-02 23:29:46.237313; 0.071612
cycle_1; pp_step_enmd_overhead; 2015-10-02 23:29:46.165701; 2015-10-02 23:29:46.237313; 0.071612
cycle_1; ex_step; 2015-10-02 23:29:33.587426; 2015-10-02 23:29:46.165604; 12.578178
cycle_1; ex_step_enmd_overhead; 2015-10-02 23:29:33.587426; 2015-10-02 23:29:33.591061; 0.003635
cycle_1; md_step; 2015-10-02 23:24:16.093035; 2015-10-02 23:29:33.583376; 317.490341
cycle_1; md_step_enmd_overhead; 2015-10-02 23:24:16.093035; 2015-10-02 23:24:18.924649; 2.831614
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000365; 2015-10-02 23:24:23.100000; 2015-10-02 23:24:42.966000; 2015-10-02 23:24:42.070000; 2015-10-02 23:24:42.103000; 2015-10-02 23:27:02.191000; 2015-10-02 23:27:02.223000; cycle_1; md_step
unit.000199; 2015-10-02 23:24:22.944000; 2015-10-02 23:24:49.899000; 2015-10-02 23:24:48.912000; 2015-10-02 23:26:56.312000; 2015-10-02 23:29:15.469000; 2015-10-02 23:29:15.512000; cycle_1; md_step
unit.000198; 2015-10-02 23:24:22.943000; 2015-10-02 23:24:49.821000; 2015-10-02 23:24:48.903000; 2015-10-02 23:26:56.297000; 2015-10-02 23:29:13.908000; 2015-10-02 23:29:13.937000; cycle_1; md_step
unit.000195; 2015-10-02 23:24:22.941000; 2015-10-02 23:24:49.497000; 2015-10-02 23:24:48.487000; 2015-10-02 23:26:56.156000; 2015-10-02 23:29:15.348000; 2015-10-02 23:29:15.376000; cycle_1; md_step
unit.000194; 2015-10-02 23:24:22.940000; 2015-10-02 23:24:49.428000; 2015-10-02 23:24:48.478000; 2015-10-02 23:26:55.374000; 2015-10-02 23:29:15.255000; 2015-10-02 23:29:15.280000; cycle_1; md_step
unit.000197; 2015-10-02 23:24:22.942000; 2015-10-02 23:24:49.697000; 2015-10-02 23:24:48.685000; 2015-10-02 23:26:56.275000; 2015-10-02 23:29:15.404000; 2015-10-02 23:29:15.436000; cycle_1; md_step
unit.000196; 2015-10-02 23:24:22.942000; 2015-10-02 23:24:49.608000; 2015-10-02 23:24:48.679000; 2015-10-02 23:26:56.158000; 2015-10-02 23:29:15.348000; 2015-10-02 23:29:15.378000; cycle_1; md_step
unit.000191; 2015-10-02 23:24:22.938000; 2015-10-02 23:24:41.474000; 2015-10-02 23:24:40.557000; 2015-10-02 23:24:40.583000; 2015-10-02 23:27:00.885000; 2015-10-02 23:27:00.910000; cycle_1; md_step
unit.000190; 2015-10-02 23:24:22.937000; 2015-10-02 23:24:41.420000; 2015-10-02 23:24:40.370000; 2015-10-02 23:24:40.403000; 2015-10-02 23:27:00.840000; 2015-10-02 23:27:00.863000; cycle_1; md_step
unit.000193; 2015-10-02 23:24:22.940000; 2015-10-02 23:24:41.575000; 2015-10-02 23:24:40.574000; 2015-10-02 23:24:40.601000; 2015-10-02 23:27:00.972000; 2015-10-02 23:27:00.995000; cycle_1; md_step
