
allocate,start_time,2015-11-20 12:14:52.933362
allocate,stop_time,2015-11-20 12:14:57.046165


Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-20 22:09:52.188846; 2015-11-20 22:09:53.214908; 1.026062
cycle_1; pp_step_enmd_overhead; 2015-11-20 22:09:52.188846; 2015-11-20 22:09:53.214908; 1.026062
cycle_1; ex_step; 2015-11-20 22:09:29.952366; 2015-11-20 22:09:52.188766; 22.2364
cycle_1; ex_step_enmd_overhead; 2015-11-20 22:09:29.952366; 2015-11-20 22:09:29.956361; 0.003995
cycle_1; md_step; 2015-11-20 17:15:42.213394; 2015-11-20 22:09:29.939982; 17627.726588
cycle_1; md_step_enmd_overhead; 2015-11-20 17:15:42.213394; 2015-11-20 17:15:51.619099; 9.405705
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000067; 2015-11-20 17:16:08.282000; 2015-11-20 17:18:25.591000; 2015-11-20 17:18:26.009000; 2015-11-20 21:48:25.836000; 2015-11-20 21:50:43.024000; 2015-11-20 21:50:43.088000; cycle_1; md_step
unit.000066; 2015-11-20 17:16:08.281000; 2015-11-20 17:18:24.423000; 2015-11-20 17:18:24.695000; 2015-11-20 21:46:04.398000; 2015-11-20 21:48:19.981000; 2015-11-20 21:48:20.380000; cycle_1; md_step
unit.001628; 2015-11-20 17:16:09.548000; 2015-11-20 17:16:32.400000; 2015-11-20 17:16:32.810000; 2015-11-20 17:39:19.161000; 2015-11-20 17:41:38.076000; 2015-11-20 17:41:38.128000; cycle_1; md_step
unit.001629; 2015-11-20 17:16:09.548000; 2015-11-20 17:16:41.595000; 2015-11-20 17:16:41.995000; 2015-11-20 17:59:43.698000; 2015-11-20 18:02:02.122000; 2015-11-20 18:02:02.135000; cycle_1; md_step
unit.001620; 2015-11-20 17:16:09.542000; 2015-11-20 17:17:31.351000; 2015-11-20 17:17:31.647000; 2015-11-20 19:53:56.494000; 2015-11-20 19:56:16.061000; 2015-11-20 19:56:16.126000; cycle_1; md_step
unit.001621; 2015-11-20 17:16:09.543000; 2015-11-20 17:18:22.672000; 2015-11-20 17:18:23; 2015-11-20 21:43:46.677000; 2015-11-20 21:46:05.504000; 2015-11-20 21:46:05.517000; cycle_1; md_step
unit.001622; 2015-11-20 17:16:09.544000; 2015-11-20 17:17:32.446000; 2015-11-20 17:17:33.095000; 2015-11-20 19:56:14.908000; 2015-11-20 19:58:34.950000; 2015-11-20 19:58:34.964000; cycle_1; md_step
unit.001623; 2015-11-20 17:16:09.544000; 2015-11-20 17:18:22.887000; 2015-11-20 17:18:23.221000; 2015-11-20 21:43:48.109000; 2015-11-20 21:46:05.560000; 2015-11-20 21:46:05.626000; cycle_1; md_step
unit.001624; 2015-11-20 17:16:09.545000; 2015-11-20 17:16:40.625000; 2015-11-20 17:16:41.035000; 2015-11-20 17:57:28.165000; 2015-11-20 17:59:45.538000; 2015-11-20 17:59:45.587000; cycle_1; md_step
unit.001625; 2015-11-20 17:16:09.546000; 2015-11-20 17:16:40.655000; 2015-11-20 17:16:41.038000; 2015-11-20 17:57:29.203000; 2015-11-20 17:59:47.791000; 2015-11-20 17:59:47.919000; cycle_1; md_step
unit.001626; 2015-11-20 17:16:09.546000; 2015-11-20 17:16:40.762000; 2015-11-20 17:16:41.280000; 2015-11-20 17:57:40.698000; 2015-11-20 17:59:59.207000; 2015-11-20 17:59:59.219000; cycle_1; md_step
