Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-06 12:28:59.094417; 2015-11-06 12:28:59.094428; 1.1e-05
cycle_1; pp_step_enmd_overhead; 2015-11-06 12:28:59.094417; 2015-11-06 12:28:59.094428; 1.1e-05
cycle_1; ex_step; 2015-11-06 12:27:52.901945; 2015-11-06 12:28:59.093850; 66.191905
cycle_1; ex_step_enmd_overhead; 2015-11-06 12:27:52.901945; 2015-11-06 12:27:53.513294; 0.611349
cycle_1; md_step; 2015-11-06 12:26:22.206271; 2015-11-06 12:27:52.901421; 90.69515
cycle_1; md_step_enmd_overhead; 2015-11-06 12:26:22.206271; 2015-11-06 12:26:22.897310; 0.691039
CU_ID; Scheduling; StagingInput; Allocating; Executing; AgentStagingOutputPending; Done; Cycle; Step;
unit.000067; 1446812783.84; 1446812784.86; 1446812802.31; 1446812802.51; 1446812803.12; 1446812846.55; cycle_1; md_step
unit.000066; 1446812783.84; 1446812784.88; 1446812807.19; 1446812807.39; 1446812808.05; 1446812867.03; cycle_1; md_step
unit.000058; 1446812783.83; 1446812784.84; 1446812798.12; 1446812798.25; 1446812798.89; 1446812829.75; cycle_1; md_step
unit.000059; 1446812783.83; 1446812784.84; 1446812798.66; 1446812798.86; 1446812799.49; 1446812832.85; cycle_1; md_step
unit.000054; 1446812783.82; 1446812784.83; 1446812796.63; 1446812796.83; 1446812797.48; 1446812824.98; cycle_1; md_step
unit.000055; 1446812783.83; 1446812784.83; 1446812797.03; 1446812797.24; 1446812797.88; 1446812826.57; cycle_1; md_step
unit.000056; 1446812783.83; 1446812784.83; 1446812797.23; 1446812797.44; 1446812798.13; 1446812826.64; cycle_1; md_step
unit.000057; 1446812783.83; 1446812784.84; 1446812797.64; 1446812797.84; 1446812798.49; 1446812828.15; cycle_1; md_step
unit.000050; 1446812783.82; 1446812784.83; 1446812795.61; 1446812795.81; 1446812796.47; 1446812820.23; cycle_1; md_step
unit.000051; 1446812783.82; 1446812784.83; 1446812796.02; 1446812796.22; 1446812796.88; 1446812821.75; cycle_1; md_step
unit.000052; 1446812783.82; 1446812784.83; 1446812796.22; 1446812796.42; 1446812797.12; 1446812823.4; cycle_1; md_step
unit.000053; 1446812783.82; 1446812784.83; 1446812796.42; 1446812796.63; 1446812797.28; 1446812823.62; cycle_1; md_step
unit.000043; 1446812783.81; 1446812784.82; 1446812793.78; 1446812793.99; 1446812794.76; 1446812813.12; cycle_1; md_step
unit.000042; 1446812783.81; 1446812784.82; 1446812793.38; 1446812793.58; 1446812794.16; 1446812811.54; cycle_1; md_step
unit.000041; 1446812783.8; 1446812784.82; 1446812793.17; 1446812793.38; 1446812793.96; 1446812811.11; cycle_1; md_step
unit.000040; 1446812783.8; 1446812784.82; 1446812792.97; 1446812793.17; 1446812793.76; 1446812809.94; cycle_1; md_step
unit.000047; 1446812783.81; 1446812784.82; 1446812794.8; 1446812795.0; 1446812795.67; 1446812817.19; cycle_1; md_step
unit.000046; 1446812783.81; 1446812784.82; 1446812794.6; 1446812794.8; 1446812795.37; 1446812816.3; cycle_1; md_step
unit.000045; 1446812783.81; 1446812784.82; 1446812794.39; 1446812794.6; 1446812795.27; 1446812815.67; cycle_1; md_step
unit.000044; 1446812783.81; 1446812784.82; 1446812793.99; 1446812794.19; 1446812794.86; 1446812814.15; cycle_1; md_step
unit.000049; 1446812783.82; 1446812784.83; 1446812795.41; 1446812795.61; 1446812796.27; 1446812819.97; cycle_1; md_step
unit.000048; 1446812783.81; 1446812784.82; 1446812795.0; 1446812795.2; 1446812795.87; 1446812818.39; cycle_1; md_step
unit.000036; 1446812783.79; 1446812784.81; 1446812791.75; 1446812791.95; 1446812792.55; 1446812805.15; cycle_1; md_step
unit.000037; 1446812783.8; 1446812784.81; 1446812792.16; 1446812792.36; 1446812792.95; 1446812806.76; cycle_1; md_step
unit.000034; 1446812783.79; 1446812784.81; 1446812791.34; 1446812791.54; 1446812792.15; 1446812803.56; cycle_1; md_step
unit.000035; 1446812783.79; 1446812784.81; 1446812791.54; 1446812791.75; 1446812792.35; 1446812804.55; cycle_1; md_step
unit.000032; 1446812783.79; 1446812784.81; 1446812790.93; 1446812791.14; 1446812791.75; 1446812801.96; cycle_1; md_step
unit.000033; 1446812783.79; 1446812784.81; 1446812791.14; 1446812791.34; 1446812791.95; 1446812803.04; cycle_1; md_step
unit.000030; 1446812783.78; 1446812784.8; 1446812790.12; 1446812790.32; 1446812790.94; 1446812798.76; cycle_1; md_step
unit.000031; 1446812783.79; 1446812784.8; 1446812790.53; 1446812790.73; 1446812791.34; 1446812800.34; cycle_1; md_step
unit.000038; 1446812783.8; 1446812784.81; 1446812792.56; 1446812792.77; 1446812793.36; 1446812808.35; cycle_1; md_step
unit.000039; 1446812783.8; 1446812784.81; 1446812792.77; 1446812792.97; 1446812793.56; 1446812809.59; cycle_1; md_step
unit.000025; 1446812783.78; 1446812784.87; 1446812806.21; 1446812806.38; 1446812806.94; 1446812862.21; cycle_1; md_step
unit.000024; 1446812783.77; 1446812784.88; 1446812808.41; 1446812808.62; 1446812809.31; 1446812871.73; cycle_1; md_step
unit.000027; 1446812783.78; 1446812784.8; 1446812789.52; 1446812789.72; 1446812790.33; 1446812795.4; cycle_1; md_step
unit.000026; 1446812783.78; 1446812784.79; 1446812789.31; 1446812789.52; 1446812790.13; 1446812797.18; cycle_1; md_step
unit.000021; 1446812783.77; 1446812784.85; 1446812800.48; 1446812800.69; 1446812801.3; 1446812839.36; cycle_1; md_step
unit.000020; 1446812783.77; 1446812784.88; 1446812807.39; 1446812807.6; 1446812808.29; 1446812867.19; cycle_1; md_step
unit.000023; 1446812783.77; 1446812784.88; 1446812808.29; 1446812808.41; 1446812809.06; 1446812870.22; cycle_1; md_step
unit.000022; 1446812783.77; 1446812784.88; 1446812808.01; 1446812808.21; 1446812808.85; 1446812870.32; cycle_1; md_step
unit.000029; 1446812783.78; 1446812784.8; 1446812789.92; 1446812790.12; 1446812790.74; 1446812798.43; cycle_1; md_step
unit.000028; 1446812783.78; 1446812784.8; 1446812789.72; 1446812789.92; 1446812790.53; 1446812796.92; cycle_1; md_step
unit.000018; 1446812783.77; 1446812784.87; 1446812806.78; 1446812806.98; 1446812807.55; 1446812865.24; cycle_1; md_step
unit.000019; 1446812783.77; 1446812784.87; 1446812806.99; 1446812807.27; 1446812807.85; 1446812865.68; cycle_1; md_step
unit.000010; 1446812783.75; 1446812784.85; 1446812801.9; 1446812802.11; 1446812802.72; 1446812845.01; cycle_1; md_step
unit.000011; 1446812783.75; 1446812784.87; 1446812804.75; 1446812804.96; 1446812805.53; 1446812855.61; cycle_1; md_step
unit.000012; 1446812783.76; 1446812784.87; 1446812804.96; 1446812805.21; 1446812805.74; 1446812857.13; cycle_1; md_step
unit.000013; 1446812783.76; 1446812784.87; 1446812805.77; 1446812805.97; 1446812806.54; 1446812860.64; cycle_1; md_step
unit.000014; 1446812783.76; 1446812784.81; 1446812792.36; 1446812792.57; 1446812793.15; 1446812808.06; cycle_1; md_step
unit.000015; 1446812783.76; 1446812784.85; 1446812800.28; 1446812800.48; 1446812801.17; 1446812838.91; cycle_1; md_step
unit.000016; 1446812783.76; 1446812784.84; 1446812798.86; 1446812799.14; 1446812799.69; 1446812833.04; cycle_1; md_step
